Records,Time,Throughput
10133,0.8863224983215332,11432.633177189224
23288,0.6721556186676025,34646.738572480026
23288,0.5586340427398682,41687.39857990398
23288,0.4592416286468506,50709.68864172394
23288,0.4319343566894531,53915.59999646734
