review_year,review_month,count,avg_stars
,,1,5.0
2013,4,1,5.0
2015,1,1,5.0
2016,10,1,1.0
2017,4,1,2.0
2017,7,1,1.0
2017,8,1,5.0
2017,9,2,3.0
2017,10,1,1.0
2018,1,2,1.0
2018,5,2,3.0
2018,7,1,1.0
2019,9,1,1.0
2019,12,1,5.0
2020,2,1,5.0
2020,6,1,5.0
2020,7,56,4.785714285714286
2020,8,23,5.0
2020,9,31,5.0
2020,10,32,4.75
2020,11,110,4.890909090909091
2020,12,93,4.860215053763441
2021,1,83,4.855421686746988
2021,2,104,4.903846153846154
2021,3,108,4.925925925925926
2021,4,124,4.935483870967742
2021,5,251,4.876494023904383
2021,6,204,4.818627450980392
2021,7,198,4.833333333333333
2021,8,268,4.850746268656716
2021,9,316,4.781645569620253
2021,10,186,4.854838709677419
2021,11,172,4.906976744186046
2021,12,169,4.875739644970414
2022,1,196,4.877551020408164
2022,2,274,4.839416058394161
2022,3,228,4.859649122807017
2022,4,199,4.793969849246231
2022,5,236,4.830508474576271
2022,6,263,4.669201520912548
2022,7,208,4.783653846153846
2022,8,186,4.844086021505376
2022,9,214,4.803738317757009
2022,10,303,4.798679867986799
2022,11,305,4.865573770491803
2022,12,162,4.7592592592592595
2023,1,152,4.855263157894737
2023,2,258,4.910852713178294
2023,3,286,4.839160839160839
2023,4,242,4.8347107438016526
2023,5,310,4.780645161290322
2023,6,255,4.776470588235294
2023,7,280,4.821428571428571
2023,8,298,4.741610738255034
2023,9,300,4.726666666666667
2023,10,294,4.809523809523809
2023,11,290,4.844827586206897
2023,12,310,4.832258064516129
2024,1,292,4.780821917808219
2024,2,311,4.823151125401929
2024,3,300,4.803333333333334
2024,4,276,4.684782608695652
2024,5,239,4.824267782426778
2024,6,241,4.7012448132780085
2024,7,2162,4.586956521739131
2024,8,1178,4.5594227504244484
2024,9,125,4.648
2024,10,644,4.184782608695652
2024,11,415,4.440963855421686
2024,12,448,4.446428571428571
2025,1,576,4.598958333333333
2025,2,1372,4.659620991253644
2025,3,387,4.596899224806202
2025,4,696,4.449712643678161
2025,5,663,4.55052790346908
2025,6,651,4.625192012288786
2025,7,467,4.653104925053533
2025,8,586,4.602389078498294
2025,9,477,4.60587002096436
2025,10,181,4.679558011049724
2025,11,24,5.0
2026,1,1981,4.434628975265018
